locationabbr,income,sex,ageyears,race_ethnicity,education,obesity_pct,total_sample_size,strat_type
NE,"$75,000 or greater",,,,,29.36460077667288,44549.0,income
NE,Data not reported,,,,,28.53314453685116,27896.0,income
NE,"Less than $15,000",,,,,34.30926958650707,14704.0,income
NH,"$15,000 - $24,999",,,,,32.127376565954314,8142.0,income
NH,"$25,000 - $34,999",,,,,30.91477832512315,6496.0,income
NH,"$35,000 - $49,999",,,,,31.343248875726665,9117.0,income
NH,"$50,000 - $74,999",,,,,30.01532400849858,11296.0,income
NH,"$75,000 or greater",,,,,25.952451004349737,20461.0,income
NH,Data not reported,,,,,26.17149419729207,16544.0,income
NH,"Less than $15,000",,,,,36.81476115010187,4417.0,income
NJ,"$15,000 - $24,999",,,,,30.618251091218468,13517.0,income
NJ,"$25,000 - $34,999",,,,,30.819059929494713,8510.0,income
NJ,"$35,000 - $49,999",,,,,29.518909024345596,10926.0,income
NJ,"$50,000 - $74,999",,,,,28.07577648560488,14102.0,income
NJ,"$75,000 or greater",,,,,23.867074593733104,35137.0,income
NJ,Data not reported,,,,,23.291126144050935,25130.0,income
NJ,"Less than $15,000",,,,,31.73280603193377,6764.0,income
NM,"$15,000 - $24,999",,,,,31.715648854961827,14934.0,income
NM,"$25,000 - $34,999",,,,,30.96847048777885,9369.0,income
NM,"$35,000 - $49,999",,,,,29.62640316951231,10601.0,income
NM,"$50,000 - $74,999",,,,,30.47549778761062,10848.0,income
NM,"$75,000 or greater",,,,,25.676972674240094,16285.0,income
NM,Data not reported,,,,,25.952886683209265,12090.0,income
NM,"Less than $15,000",,,,,33.43782911328559,9913.0,income
NV,"$15,000 - $24,999",,,,,27.798335315101074,5887.0,income
NV,"$25,000 - $34,999",,,,,31.05708511650024,4206.0,income
NV,"$35,000 - $49,999",,,,,29.349935436266378,5421.0,income
NV,"$50,000 - $74,999",,,,,27.87836157313851,6433.0,income
NV,"$75,000 or greater",,,,,26.096801864801865,10725.0,income
NV,Data not reported,,,,,26.141555475417718,8319.0,income
NV,"Less than $15,000",,,,,30.502970616725865,3097.0,income
NY,"$15,000 - $24,999",,,,,30.734124136866875,25923.0,income
NY,"$25,000 - $34,999",,,,,29.647849548538765,18717.0,income
NY,"$35,000 - $49,999",,,,,29.752372935341494,21977.0,income
NY,"$50,000 - $74,999",,,,,28.639888846301268,26090.0,income
NY,"$75,000 or greater",,,,,23.561463445193894,47887.0,income
NY,Data not reported,,,,,24.433953957023636,45653.0,income
NY,"Less than $15,000",,,,,32.8197597296959,15982.0,income
OH,"$15,000 - $24,999",,,,,36.41561431202315,22806.0,income
OH,"$25,000 - $34,999",,,,,35.38494107641842,16462.0,income
OH,"$35,000 - $49,999",,,,,35.532450195111934,19476.0,income
